WARNING - 11/03/2017 00:11:50| PyNaCl is not installed, voice will NOT be supported
INFO - 11/03/2017 00:11:50| on_ready has successfully been registered as an event
INFO - 11/03/2017 00:11:50| on_message has successfully been registered as an event
INFO - 11/03/2017 00:11:50| logging in using static token
INFO - 11/03/2017 00:11:51| Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6
INFO - 11/03/2017 00:11:51| sent the identify payload to create the websocket
INFO - 11/03/2017 00:11:53| ---------------
INFO - 11/03/2017 00:11:53| DanBot Initialized.
INFO - 11/03/2017 00:11:53| User: DanBot
INFO - 11/03/2017 00:11:53| Id: 375519136891011072
INFO - 11/03/2017 00:11:53| ---------------
