WARNING - 11/02/2017 23:51:17| PyNaCl is not installed, voice will NOT be supported
INFO - 11/02/2017 23:51:17| on_ready has successfully been registered as an event
INFO - 11/02/2017 23:51:17| on_message has successfully been registered as an event
INFO - 11/02/2017 23:51:17| logging in using static token
INFO - 11/02/2017 23:51:17| Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6
INFO - 11/02/2017 23:51:17| sent the identify payload to create the websocket
INFO - 11/02/2017 23:51:19| ---------------
INFO - 11/02/2017 23:51:19| DanBot Initialized.
INFO - 11/02/2017 23:51:19| User: DanBot
INFO - 11/02/2017 23:51:19| Id: 375519136891011072
INFO - 11/02/2017 23:51:19| ---------------
INFO - 11/02/2017 23:51:25| Recieved Message:!listserver
INFO - 11/02/2017 23:51:26| Recieved Message:Server Name: divine_journey
Description: Divine Journey Minecraft server
